username,created_at,text,retweet,favorite
brilliaflah,2020-06-21 17:24:33,@roviputratm lohh adek yg pas di bali udh keluar,0,0
brilliaflah,2020-06-20 06:46:38,@litposthinker https://t.co/nWyptFpbjL,0,0
brilliaflah,2020-06-19 16:03:39,@ddkhrisna apakah kisanak btuh orang tua 🍇,0,0
brilliaflah,2020-06-19 10:43:38,@ddkhrisna tuperware no jutsu ✨,0,0
brilliaflah,2020-06-18 17:25:24,@pandaxxpandaxx @BudeSumiyati bude 😭😭,0,0
brilliaflah,2020-06-18 06:35:32,childhood 🎮 https://t.co/tzfuGRSsTd,0,0
brilliaflah,2020-06-17 17:16:05,Double kiilll 😭😭 https://t.co/luuZVdU6Ct,0,1
brilliaflah,2020-06-16 03:03:05,@Nortonrafli27 banting setir kan netflix a mas,0,0
brilliaflah,2020-06-16 01:29:40,"Amatir,, sampahh https://t.co/phChzpR3p8",0,0
brilliaflah,2020-06-15 15:09:31,Mrs. Mia Wallace 💃 https://t.co/zFOjHMl77J,0,4
brilliaflah,2020-06-14 17:08:47,@ddkhrisna terhuraa hiiksshiikss 😭,0,0
brilliaflah,2020-06-13 06:09:49,"GOBLOK wkwk,, https://t.co/fcKjor23Sn",0,1
brilliaflah,2020-06-12 16:42:54,"@aditya_annecdo @srldwnz @pondoxcina utk pengurusannya bsa ke rmh saya, dan diharap membawa uang damai",0,0
brilliaflah,2020-06-12 16:39:21,"@fernandoongkyc ""naiikk naiikk ke mimbar masjid, ente kafir sekaleee""..,, sepotong lirik lagu malam ini",0,0
brilliaflah,2020-06-12 16:36:09,"@aditya_annecdo @srldwnz @pondoxcina selamat malam mas,, saya dari polsek gadang bisa bicara sebentar",0,0
brilliaflah,2020-06-12 16:28:40,"@roviputratm @fernandoongkyc @Txtdariseragam @mohmahfudmd ""Mas rop di goleki kancane"",, bapak2 kekar intel(indomi telur)",0,0
brilliaflah,2020-06-12 14:03:43,@Holypaaw @sbyfess ngga tdi nongol di tl wkwk,0,0
brilliaflah,2020-06-12 13:44:15,@sbyfess adeknya loriana yg pasti @Holypaaw,0,0
brilliaflah,2020-06-10 08:45:29,@Chaayeollie__ @avrizal_akbar @izmirrtais @satyapradana98 @Holypaaw @Rawonnnnn yok geess ditraktir yulek,0,0
brilliaflah,2020-06-10 06:04:54,@dausapaadanya mythic STAR,0,0
brilliaflah,2020-06-09 15:38:00,triplet https://t.co/neUSaLr6Q9,0,1
brilliaflah,2020-06-08 16:56:52,"@Holypaaw astagfirullah,,",0,0
brilliaflah,2020-06-08 16:56:34,@Holypaaw sebelum anda tua dan penyakitan kronis,0,0
brilliaflah,2020-06-08 16:43:14,@Holypaaw https://t.co/vQh6lzl4ni,0,0
brilliaflah,2020-06-08 14:55:22,"@ngalamfess @Chaayeollie__ haree ws ora psbb, heeiisshh @satyapradana98 @aditya_annecdo @Rawonnnnn",0,0
brilliaflah,2020-06-08 07:26:39,@ddkhrisna love story ne spo ki wkwk,0,0
brilliaflah,2020-06-07 17:45:42,@PenjahatGunung https://t.co/2fOZR6ld4Q,0,10
brilliaflah,2020-06-07 15:52:47,@dausapaadanya @sarizqa,0,0
brilliaflah,2020-06-07 15:31:28,@azizulmhrd @roviputratm jinshooo...,0,0
brilliaflah,2020-06-07 15:25:56,@roviputratm @azizulmhrd ngekos berasa ngontrak sndirian wkwk,0,0
brilliaflah,2020-06-07 15:08:56,@dausapaadanya N for Rozi,0,0
brilliaflah,2020-06-07 15:00:57,"@roviputratm @azizulmhrd astagfirullah, tolong tagihan PDAM nya mas wkwkwk",0,0
brilliaflah,2020-06-07 14:58:46,@azizulmhrd @dausapaadanya sebenarnya jagung serut sepiring berdua sungguh nikmat,0,0
brilliaflah,2020-06-07 14:56:43,"@yeoliiChaaa_ @srldwnz waahh ngecheat,,,",0,0
brilliaflah,2020-06-07 11:36:56,lu kira lompat tali 😂 https://t.co/KXnb66wuON,0,0
brilliaflah,2020-06-07 09:05:11,"3 bulan dirumah, otak aing msh lancar https://t.co/c81bWJNky1 https://t.co/6WlgP5hHS8",0,0
brilliaflah,2020-06-07 08:42:33,@dausapaadanya P for Ping,0,0
brilliaflah,2020-06-04 17:32:46,@Holypaaw @bamzdnr udh seharian jaga poltek sek iya dipalak tolil,0,0
brilliaflah,2020-06-04 17:22:35,@ntapseoul @tubbirfess pancong balap coklat set mateng bang,0,1
brilliaflah,2020-06-04 14:08:09,@bamzdnr mending pamdal sek rodok gedi awk e wkwk,0,0
brilliaflah,2020-06-04 11:47:27,@goal middle board fc,0,0
brilliaflah,2020-06-04 11:30:04,@yeoliiChaaa_ @jakartaakeras @Holypaaw @aditya_annecdo @admajarois https://t.co/Hr0qysODEq,0,0
brilliaflah,2020-06-04 02:14:10,@dausapaadanya N for Nirma :))),0,0
brilliaflah,2020-06-04 02:13:19,@Holypaaw pamdal poltek idamanmu :))),0,0
brilliaflah,2020-06-03 23:50:10,"@srldwnz @aditya_annecdo gbsa bebas, ngapain ksono..",0,0
brilliaflah,2020-06-03 16:41:04,"@ddkhrisna kenek mijo bloogg,, ra tembus kuncimu.",0,0
brilliaflah,2020-06-03 16:31:59,"@aditya_annecdo marung syahdu,, malang bisa apa wkwkwk https://t.co/qvLSI4Tm0M",0,0
brilliaflah,2020-06-03 16:24:02,Tes Bayar sihh yo lolos https://t.co/Sa2rLbV8qr,0,0
brilliaflah,2020-06-03 16:22:06,@aditya_annecdo apa itu ngops new normal? trend anyar ta ng malang wkwkek,0,0
brilliaflah,2020-06-03 16:18:49,@ddkhrisna https://t.co/whUKt3VMpt,0,0
brilliaflah,2020-06-02 18:49:55,@roviputratm tukar tambah antar teman,0,0
brilliaflah,2020-06-02 15:18:45,"@thariqarahmaaa ""ngegas adalah jalan ninjaku"" - Thariqa",0,0
brilliaflah,2020-06-02 15:05:02,@klasemenmakanan sg paling enk menurutmu? @azizulmhrd,0,0
brilliaflah,2020-06-01 17:26:29,@azizulmhrd @roviputratm @fernandoongkyc haiyuuukkkk yahahahahha,0,0
brilliaflah,2020-06-01 12:23:43,"@azizulmhrd cyuukkk raenek sinyal, mnding marung",0,0
brilliaflah,2020-06-01 08:54:38,"@azizulmhrd Urun setengah2, we sg tengen aku sg kiwo, deal",0,0
brilliaflah,2020-06-01 08:51:59,@ddkhrisna حاول شيس أخذني على الإيجابية. أنا آسف لا أستطيع. لقد نسيت أن بناءي كان مبنياً على الحزن ، والاكتئاب ، والوحدة ، والقلق. لذا فإن الفوضى والحب سوف يمزقاننا. أتمنى أن تعرف ، حتى الآن ، أنا أحبك كثيراً. اكثر من اي شئ. سعيد لرؤيتك الآن - in arab languange,0,0
brilliaflah,2020-06-01 08:39:54,"@kacangcaramel griya santa, belakang asifa?",0,0
brilliaflah,2020-06-01 08:30:39,"abis lebaran, ngajak fisikan https://t.co/X9eGAGS59l",0,0
brilliaflah,2020-05-31 20:52:11,@azizulmhrd https://t.co/axMCawBPzi,0,0
brilliaflah,2020-05-31 19:19:53,@memefess apen @azizulmhrd @fernandoongkyc @roviputratm,0,0
brilliaflah,2020-05-31 18:33:45,@dausseadanya jdi intinya apakah kantung bola matamu mempunyai kantung bola mata lgi?,0,0
brilliaflah,2020-05-31 18:29:35,@ddkhrisna laa brati kakean masako lek asin,0,0
brilliaflah,2020-05-31 18:29:20,@ddkhrisna laaa ayoo sabtu balek wkwk,0,0
brilliaflah,2020-05-31 18:17:31,"@ddkhrisna wkwkwk,, laa pyee pen naskun maksin",0,0
brilliaflah,2020-05-31 18:13:31,"@ddkhrisna Ayo malang, kangen kuliner kii",0,0
brilliaflah,2020-05-31 18:05:55,"@ddkhrisna krna sdh prinsip, aman gass, ra aman tabrak wkwk",0,0
brilliaflah,2020-05-28 04:31:45,@istirahatsiang @kontempoLer @cursedkidd @paruparukiamat @finrul yoi babarsari,0,0
brilliaflah,2020-05-25 19:40:09,Allhaaaiilll DarthVader 🙋🙋🙋 https://t.co/30v5rg2zJb,0,0
brilliaflah,2020-05-25 13:02:05,@ddkhrisna blink localpreed,0,0
brilliaflah,2020-05-25 12:56:22,@Joko_Polpp katanya diajak maen judi onlen sma adit @aditya_annecdo,0,0
brilliaflah,2020-05-24 07:40:25,@roviputratm @ddkhrisna tiati digrebek neh wengko wkwk,0,0
brilliaflah,2020-05-24 07:40:02,"@ddkhrisna utututuuu,, beraatt",0,0
brilliaflah,2020-05-23 19:27:04,@ddkhrisna apakah morissey sdh gaenak?,0,0
brilliaflah,2020-05-22 12:01:47,@shitlicious mirip krisyanto mas alit https://t.co/caJGQMG1eu,0,0
brilliaflah,2020-05-22 11:38:22,@roviputratm haaaa... https://t.co/uTb4UAMGbI,0,0
brilliaflah,2020-05-16 16:37:46,@yeoliiChaaa_ @bobby_tholo kabupaten bkn kota 🙏,0,1
brilliaflah,2020-05-16 16:34:53,@yeoliiChaaa_ @jawafess Cuuaakkss wkwkwk,0,0
brilliaflah,2020-05-09 10:59:30,Saasskeehhh https://t.co/tqKg7RBCQx,0,1
brilliaflah,2020-05-05 19:03:33,malang malang wkks @aditya_annecdo https://t.co/A9K4kw7S3f,0,0
brilliaflah,2020-05-05 18:55:26,malaikat part time wkwk https://t.co/rBKxUEZHHy,0,0
brilliaflah,2020-05-05 13:52:38,HUMAN https://t.co/eedCR2bI0U,0,0
brilliaflah,2020-05-03 23:37:25,@FOODFESS2 indomie rakjat,0,0
brilliaflah,2020-05-03 13:48:22,@aditya_annecdo @Joko_Polpp awkmu mesti sg ngajak awal,0,0
brilliaflah,2020-05-03 08:41:16,Mataku wkkw https://t.co/pQvfxO9Tee,0,0
brilliaflah,2020-05-03 08:40:13,"@srldwnz hee,, teman kafirku(daily horoscope) apakah anda mau ikutan",0,0
brilliaflah,2020-05-03 08:19:13,"Syaiton,, napa ngjak pas puasa,, tpi jga pen duit 😂😂 https://t.co/kHr5cWQRE1",0,0
brilliaflah,2020-05-01 21:49:46,"Hahahahha,, mandi masker https://t.co/jZcHG35eMt",0,1
brilliaflah,2020-05-01 17:31:02,@FOODFESS2 cak rii kuuyyy @aditya_annecdo @Rawonnnnn @Joko_Polpp,0,0
brilliaflah,2020-05-01 14:47:07,"@FOODFESS2 vsoy, greenfield jg",0,0
brilliaflah,2020-04-30 18:20:09,"@srldwnz Asap ku warna warni, ngga monoton putih doang",0,0
brilliaflah,2020-04-30 18:16:04,tutorial bkin pocong https://t.co/hCrFUo6nFn,0,0
brilliaflah,2020-04-30 18:15:02,olahraga pen sehat https://t.co/enO4SyFu1Q,0,0
brilliaflah,2020-04-30 16:57:29,@roviputratm paansii sok iya wkwk,0,0
brilliaflah,2020-04-30 16:54:15,Jackpoott 🙌🙌 https://t.co/eCBkYivdPS,0,0
brilliaflah,2020-04-30 11:55:25,@fernandoongkyc @azizulmhrd @magetanbanget pak joko smala,0,0
brilliaflah,2020-04-29 17:55:02,@fernandoongkyc @azizulmhrd @magetanbanget rjj kup taw,0,0
brilliaflah,2020-04-29 12:13:17,Open jasa pijat kucing https://t.co/PRzGU2Ao09,0,0
brilliaflah,2020-04-27 22:11:34,Ngefly https://t.co/iXu1db9Hih,0,0
brilliaflah,2020-04-26 17:12:33,@srldwnz iki sg ng lt2 ril,0,0
brilliaflah,2020-04-26 14:10:48,"@roviputratm ""هناك كل هذه الأشياء والدتي جيدة لأن والدي ليس كذلك ، وكل هذه الأشياء والدي جيدة لأن والدتي ليست كذلك ، وإذا تمكنوا فقط من حل خلافاتهم ، أو الحفاظ على خفة الخلاف إلى الحد الأدنى ، يمكن أن يكون لدي والدين كاملين "". iki boso arab e",0,0
brilliaflah,2020-04-26 13:05:45,Maybe lgi ikut kelas aerobik https://t.co/GCbz2IEMfF,0,0
brilliaflah,2020-04-25 17:36:40,@gubuknetijen abidin abidin @Joko_Polpp @cursedkidd @aditya_annecdo @cedjawa @Rawonnnnn @admajarois,0,0
brilliaflah,2020-04-25 17:32:24,"@fernandoongkyc Imam masjid said ""dasar marbot, ngga dibagiin malah dikoleksi""",0,0
brilliaflah,2020-04-25 11:47:15,Maaf tidak bsa menikmati aneka olahan masakan darimu puasa ini 😭😭 https://t.co/BQoy60yctX,0,0
brilliaflah,2020-04-25 04:53:37,@Joko_Polpp burgernya itu lo tod,0,0
brilliaflah,2020-04-24 11:26:01,Kuuyyy lagii @Joko_Polpp https://t.co/tccDSDlafq,0,0
brilliaflah,2020-04-24 11:24:13,"@yourpiee Villa mas yg benar,,",0,0
brilliaflah,2020-04-24 07:06:12,@yourpiee Ya pemuda gini izroil suka,0,0
brilliaflah,2020-04-23 11:52:11,"@aditya_annecdo Sg tangi awan, jgn byk bacot yak nuhun",0,0
brilliaflah,2020-04-23 10:00:48,@Joko_Polpp abis lebaran ya nak,0,0
brilliaflah,2020-04-23 08:57:07,Kpn bisa minggu sehat lagi 😔 https://t.co/4FYiCnqKrE,0,2
brilliaflah,2020-04-23 08:09:30,@yeoliiChaaa_ genre goree,0,0
brilliaflah,2020-04-23 08:07:57,"@roviputratm saya selaku imam masjid sabilillah blimbing, adanya sholat ghoib mas",0,0
brilliaflah,2020-04-23 07:56:18,"@yeoliiChaaa_ msh kurang 3bln anda, gabole liat mantab mantab",0,0
brilliaflah,2020-04-23 06:37:09,@yeoliiChaaa_ Apakah ini rasa tuna? naagiiihhh 😱😱,0,0
brilliaflah,2020-04-23 06:30:50,@yeoliiChaaa_ cicak mozarellanya kaakkkk https://t.co/NiKDVxBe62,0,0
brilliaflah,2020-04-23 06:24:41,@yeoliiChaaa_ pasti dia dosen TI poletek,0,0
brilliaflah,2020-04-21 17:57:56,"@roviputratm baik bapak, adik dri istri yg ke berapa btw?",0,0
brilliaflah,2020-04-20 06:20:08,@roviputratm @dyasaisyah99 ga wani ngejak lsg yas,0,0
brilliaflah,2020-04-20 06:19:14,@dyasaisyah99 @roviputratm ga ngerti ropi ngejak2,0,0
brilliaflah,2020-04-20 05:46:21,@fernandoongkyc Bisnis ikan cupang apakah mau dilanjut mas??,0,0
brilliaflah,2020-04-20 03:34:48,@roviputratm @dyasaisyah99 yas dijak ngopi rovi,0,0
brilliaflah,2020-04-20 00:08:17,@yourpiee putri malu,0,0
brilliaflah,2020-04-16 05:37:59,@aditya_annecdo makan terakhir sblm diangkat,0,0
brilliaflah,2020-04-15 10:10:52,@yeolaaa_ @srldwnz @moviemenfes @Joko_Polpp jual dalgombes kopi?,0,0
brilliaflah,2020-04-14 15:30:03,"@yeolaaa_ @srldwnz @moviemenfes @Joko_Polpp punteenn, TTM2 udh liat aing, nuhuunn",0,0
brilliaflah,2020-04-13 10:23:34,@NetflixID @CenayangFilm ocean waves sama whisper of the heart min,0,0
brilliaflah,2020-04-13 10:12:18,@snugglebeam pointBlank server Gemscool,0,0
brilliaflah,2020-04-13 10:02:08,memang bkn kaum rebahan https://t.co/leUStw1Ts0,0,0
brilliaflah,2020-04-13 09:59:41,@fernandoongkyc kenapa tdk family yg ada roda sampingnya,0,0
brilliaflah,2020-04-13 06:06:31,@fernandoongkyc kenapa sepeda nya hrs pacific?,0,0
brilliaflah,2020-04-10 10:08:00,@yeolaaa_ nuhuunn teehh,0,0
brilliaflah,2020-04-10 10:04:32,@yeolaaa_ cmd ku vrs terminal gmna kaakk,0,0
brilliaflah,2020-04-10 07:50:49,@yourpiee @roviputratm jastip maling pemehan,0,0
brilliaflah,2020-04-05 14:12:57,"@roviputratm Alhamdulillah, kuuyy pulkam",0,0
brilliaflah,2020-04-03 16:18:38,@aditya_annecdo @yeolaaa_ @srldwnz @collegemenfess @izmirrtais gataw aku msh pendidikan anak usia dini hari 👦,0,0
brilliaflah,2020-04-03 11:22:37,@yourpiee @pakantono YNWA wkwkwk,0,0
brilliaflah,2020-04-03 11:19:38,@pakantono Lohh cookkk loohhh cookkk wkwkwk @yourpiee @roviputratm,0,0
brilliaflah,2020-04-01 19:47:13,virus medal jam pinten pak?? wkwkwk https://t.co/5dG9NWTBAN,0,0
brilliaflah,2020-04-01 11:20:51,Corona : April mop!!! 😂😂 https://t.co/3A0dZMirqZ,0,0
brilliaflah,2020-03-29 05:55:06,Lama-lama jdi siput uee 🐌🐌 https://t.co/gBzP9Lfgoh,0,0
brilliaflah,2020-03-29 05:42:49,"@izmirrtais @aditya_annecdo malang msh redzone, ditunggu yak wkwkwk",0,0
brilliaflah,2020-03-29 05:42:21,@izmirrtais @Rawonnnnn Kok rame2 ada ape nii,0,0
brilliaflah,2020-03-28 08:48:08,@BudeSumiyati dijual eceran dan grosir bude,0,0
brilliaflah,2020-03-25 15:58:01,"@aditya_annecdo @srldwnz @yeolaaa_ @niko_junius sudah terlatih, punten",0,0
brilliaflah,2020-03-24 05:01:13,vironika vironika https://t.co/q0yMey7wfn,0,1
brilliaflah,2020-03-20 14:43:53,"@roviputratm corona ae loo, kancamu ben galang dana",0,0
brilliaflah,2020-03-20 14:40:25,@yopiasaputra Laaylaaylaaylaayylaayyyy,0,0
brilliaflah,2020-03-20 14:39:09,@yopiasaputra wes ki ng omh,0,0
brilliaflah,2020-03-20 14:20:49,@yopiasaputra yo ayo explore,0,0
brilliaflah,2020-03-19 17:34:19,@yeolaaa_ @srldwnz @dzakwannabih @izmirrtais kuuyy mekkah @izmirrtais @yeolaaa_ @srldwnz https://t.co/HJ9J74Ju2z,0,1
brilliaflah,2020-03-19 11:43:21,@srldwnz @yeolaaa_ @dzakwannabih @izmirrtais leptop saya gakuat buat gtuan wkwk,0,0
brilliaflah,2020-03-17 17:17:56,@yopiasaputra @awzizul @tamayogaaa cuukk togel wkwkwk,0,0
brilliaflah,2020-03-17 17:16:36,@roviputratm iyo ssk crito mbe cah2 rop,0,0
brilliaflah,2020-03-17 17:11:29,domba renata wkwk https://t.co/pDORzJjsCw,0,0
brilliaflah,2020-03-17 15:23:24,wkwkkw https://t.co/qciKH5abhz,0,0
brilliaflah,2020-03-16 06:29:47,"Mari kerokan, Antangin e nang jo lali,, https://t.co/UEIZsegHU9",0,0
brilliaflah,2020-03-14 06:38:49,"@yopiasaputra YNWA,, tak iringi kepergianmu.. ""Betapa hatiku takkan pilu Telah gugur pahlawanku Betapa hatiku takkan sedih Hamba ditinggal sendiri Siapakah kini pelipur lara Nan setia dan perwira Siapakah kini pahlawan hati Pembela bangsa sejati""",1,0
brilliaflah,2020-03-09 15:29:36,☺️ https://t.co/o6gKtFEtOp,0,0
brilliaflah,2020-03-07 12:46:49,@Joko_Polpp @toothpeachup96 Loohh dit adoh2 tkn sby @aditya_annecdo,0,0
brilliaflah,2020-03-06 16:17:57,@BudeSumiyati You,0,0
brilliaflah,2020-03-06 15:10:15,https://t.co/jhmoNSwMCh,0,0
brilliaflah,2020-03-04 15:05:18,Hayoooo https://t.co/jofrSHOuwn,0,1
brilliaflah,2020-03-04 12:00:11,@yeolaaa_ wkwkwk ngga hee candaa,0,0
brilliaflah,2020-03-04 11:56:04,"@yeolaaa_ Loohh ngga pernah cek up rutin?? kok tiba2 cancer,, stadium berapa kak",0,0
brilliaflah,2020-03-02 15:15:04,@Nortonrafli27 @srldwnz arsyad mesti,0,0
brilliaflah,2020-03-02 15:13:14,@goal Over Power sekalee,0,0
brilliaflah,2020-03-02 15:10:13,@Rawonnnnn @srldwnz @weishenvess @Nortonrafli27 @aditya_annecdo @Joko_Polpp km cp?,0,0
brilliaflah,2020-03-02 15:04:16,"@Rawonnnnn @srldwnz @weishenvess @Nortonrafli27 @aditya_annecdo @Joko_Polpp kita samaan,",0,0
brilliaflah,2020-03-01 15:30:58,"@yeolaaa_ @srldwnz @isnansayyidinaa @izmirrtais Rebahan enak, tnyakan pda suhu @izmirrtais",0,0
brilliaflah,2020-03-01 01:19:30,"@FOODFESS2 Panas, sambel kecap, nasi",0,0
brilliaflah,2020-03-01 01:07:07,@FOODFESS2 sunmor ugm,0,0
brilliaflah,2020-03-01 00:42:13,@iamisperception @yeolaaa_ @srldwnz @collegemenfess @izmirrtais @aditya_annecdo @Joko_Polpp @ahmad_musyadad Poltek = bimbel,0,0
brilliaflah,2020-02-28 11:48:32,@yopiasaputra @roviputratm Ngawur fisik juu,0,0
brilliaflah,2020-02-25 17:31:13,@Rawonnnnn selamat wkwk,0,0
brilliaflah,2020-02-25 16:50:42,selamat anda kristen https://t.co/CgmVz7SPm8,0,0
brilliaflah,2020-02-25 16:47:59,@srldwnz ada tpi brownis neraka mau,0,0
brilliaflah,2020-02-25 16:38:06,@srldwnz @AdityaWisnu Cuuaakk wkwkwkk,0,0
brilliaflah,2020-02-25 12:37:48,@srldwnz @MajelisLucuTwt @Joko_Polpp kita kan udh bagianya tuhan,0,0
brilliaflah,2020-02-25 04:35:28,@srldwnz @finrul @yeolaaa_ beli o,0,0
